,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,mean
31,79.2,43.2,52.7,22.3,75.4,37.2,59.0,41.4,49.0,59.0,3.7,8.3,7.0,34.5,19.5,5.1,14.7,11.5,12.4,4.8,37.5,19.0,20068.1,16364.8,3703.4,81.5,18.5,1516.025925925926
32,84.3,45.4,59.4,21.5,80.9,41.3,62.2,43.7,53.9,67.8,4.4,9.3,7.6,42.5,23.3,5.3,16.3,10.1,11.7,4.5,46.8,19.5,36176.8,28511.9,7664.9,78.8,21.2,2711.677777777778
33,68.7,34.3,45.8,20.5,66.1,31.8,51.8,37.1,43.4,54.9,2.4,6.8,5.3,34.0,17.6,3.9,12.5,8.6,9.1,3.1,34.6,17.3,10521.7,6560.2,3961.5,62.3,37.7,805.6666666666666
34,76.1,43.5,53.5,23.9,73.1,34.8,55.6,43.1,53.9,62.4,2.9,8.4,6.7,41.9,20.8,4.9,13.3,11.0,12.2,3.9,39.8,18.1,15011.9,12489.9,2522.0,83.2,16.8,1141.762962962963
35,65.9,36.5,43.8,20.1,63.4,28.1,37.5,39.0,46.7,53.5,1.8,6.3,4.3,37.9,13.5,3.1,9.5,6.4,4.7,2.1,37.9,17.4,1637.8,1140.4,497.4,69.6,30.4,146.4814814814815
36,48.7,14.5,18.1,11.1,46.0,21.4,29.0,27.4,29.4,29.4,1.1,1.7,1.6,18.4,10.5,1.9,6.9,2.4,2.5,1.1,11.1,11.1,1047.7,982.2,65.5,93.7,6.3,94.1
37,79.5,36.1,41.3,24.3,74.0,39.4,55.0,52.0,48.0,62.6,2.5,5.7,4.2,41.3,18.6,4.7,12.6,9.4,7.2,3.7,30.0,17.8,1065.9,1012.4,53.5,95.0,5.0,107.47037037037038
38,87.0,30.9,37.7,40.2,75.5,29.4,59.6,44.2,54.9,73.3,2.5,4.4,4.7,35.0,18.4,3.3,10.2,8.0,8.4,3.3,27.6,30.4,1093.0,1053.2,39.8,96.4,3.6,110.18148148148148
39,70.9,38.6,43.6,20.3,68.1,28.1,50.9,38.8,47.7,55.5,2.6,5.1,4.8,37.0,18.0,3.8,10.6,6.4,5.7,2.8,28.8,14.2,738.1,629.0,109.1,85.2,14.8,80.68518518518519
40,73.0,42.0,43.9,18.5,69.4,27.8,54.5,37.4,47.8,56.6,2.3,5.5,4.4,39.8,20.7,4.0,12.8,6.6,7.5,3.2,32.7,14.9,1153.6,990.4,163.1,85.9,14.1,112.31111111111112
41,69.0,42.7,46.0,34.3,64.4,47.5,45.6,51.2,51.3,53.5,2.5,3.7,3.4,43.0,35.8,3.8,27.0,5.7,22.4,3.2,35.3,12.9,1568.7,1451.6,117.1,92.5,7.5,145.98518518518517
42,88.1,50.9,62.5,25.4,85.3,39.7,64.8,46.6,57.9,71.8,4.1,9.6,8.6,42.9,23.4,5.6,15.4,12.8,12.4,5.4,46.5,22.4,8245.6,6290.3,1955.3,76.3,23.7,644.1962962962963
43,78.9,43.1,51.3,24.2,75.5,39.6,55.4,44.6,48.6,61.4,2.2,8.9,7.4,36.4,21.6,5.7,16.0,10.4,11.3,4.5,37.0,18.5,22335.7,16533.3,5802.5,74.0,26.0,1684.2222222222222
44,82.2,43.8,59.3,22.9,78.4,35.3,62.4,41.8,51.8,66.3,2.7,9.0,7.2,44.1,21.4,4.7,13.8,9.3,11.1,3.9,43.4,17.7,2113.2,1897.3,215.9,89.8,10.2,187.36666666666665
45,74.0,33.7,48.7,21.2,71.4,28.9,55.9,35.8,47.5,59.7,3.3,8.1,7.4,36.5,20.4,4.9,12.7,9.5,9.9,4.2,36.6,18.2,2243.8,1917.4,326.5,85.5,14.6,193.93703703703707
46,85.5,51.4,56.7,33.7,82.2,46.7,60.1,43.3,55.8,69.1,3.3,10.1,8.4,40.6,24.2,5.5,17.6,13.7,14.1,4.5,40.7,18.8,35476.7,26452.4,9024.3,74.6,25.4,2660.7185185185185
47,78.6,44.5,55.1,21.6,75.9,34.6,59.8,44.3,51.6,63.5,2.8,9.0,7.3,37.9,19.1,5.1,14.0,10.1,11.3,3.8,39.8,18.3,8683.6,6855.9,1827.6,79.0,21.0,673.1518518518518
48,73.0,37.1,54.2,21.7,71.5,32.6,51.6,49.3,53.9,59.4,3.0,9.8,6.9,34.3,19.4,4.2,13.9,10.9,10.8,4.1,39.0,16.3,2668.8,2061.4,607.4,77.2,22.8,226.46296296296296
49,79.9,50.1,58.4,36.4,76.4,42.7,61.6,36.6,58.7,68.1,11.2,17.9,15.3,46.3,29.0,12.3,22.5,18.8,21.2,12.1,50.3,26.2,18555.0,14003.3,4551.7,75.5,24.5,1409.7037037037037
50,80.5,43.1,56.0,21.5,74.4,35.6,65.0,36.5,56.1,65.0,1.3,7.2,7.0,42.3,20.5,3.9,11.5,8.2,9.9,3.7,40.5,19.2,4138.6,3449.1,689.4,83.3,16.7,336.51851851851853
51,88.7,52.0,62.1,31.1,86.3,44.8,63.3,51.1,62.1,73.0,4.2,12.4,8.8,48.4,24.7,6.6,17.4,15.0,17.3,6.5,48.0,20.8,27844.3,21588.6,6255.7,77.5,22.5,2097.525925925926
52,85.5,46.9,58.3,26.1,82.3,38.6,64.2,47.7,57.4,68.5,3.7,9.9,8.5,42.6,24.3,5.7,17.2,10.7,12.7,4.9,43.0,21.4,8728.3,6571.3,2157.0,75.3,24.7,679.1370370370371
53,79.6,42.2,52.2,21.7,76.5,34.6,57.8,45.4,52.5,64.4,3.1,8.0,7.3,40.7,22.7,4.5,13.4,9.5,10.9,4.0,39.4,18.7,3779.2,3131.0,648.2,82.8,17.2,309.9074074074074
54,74.7,45.8,52.7,24.8,71.5,41.4,54.9,40.0,50.4,61.3,4.4,11.4,8.7,38.0,21.9,6.5,15.6,13.5,14.9,5.9,41.1,19.4,43643.5,36459.7,7183.8,83.5,16.5,3263.177777777778
55,75.0,41.0,49.6,23.8,71.5,35.5,52.5,38.6,46.8,58.3,3.3,8.8,6.5,34.6,19.6,4.7,14.4,9.7,12.2,4.2,35.7,19.2,11492.0,9610.1,1881.9,83.6,16.4,879.6111111111111
56,71.7,34.7,47.7,20.0,69.0,31.3,51.8,36.5,53.9,59.4,2.7,8.2,7.4,35.3,19.2,4.9,13.0,9.4,11.3,3.6,34.0,17.2,4853.0,3936.3,916.7,81.1,18.9,386.9703703703704
57,85.5,42.5,53.5,20.9,81.2,33.7,61.8,40.4,52.6,63.8,2.6,6.9,6.7,39.5,21.0,4.0,14.1,8.3,10.0,3.3,37.5,20.5,2248.1,1952.6,295.6,86.9,13.1,196.54074074074074
58,87.4,54.1,61.8,28.3,84.4,41.4,61.3,50.0,59.8,72.1,4.0,11.9,8.4,46.9,24.1,5.5,17.7,13.9,14.8,5.1,49.3,20.9,35785.4,28655.3,7130.1,80.1,19.9,2684.9592592592594
59,77.1,50.5,58.1,24.2,72.3,42.3,56.7,42.3,49.0,64.0,3.1,12.4,8.7,40.7,22.3,4.7,18.1,12.1,14.7,4.5,47.3,20.6,56887.3,37534.7,19352.6,66.0,34.0,4245.196296296296
60,89.0,54.3,62.7,27.8,84.8,41.2,65.1,50.2,60.3,71.9,4.1,12.2,9.5,48.0,26.0,6.1,18.6,13.8,15.9,5.6,49.2,22.5,29005.6,23704.8,5300.8,81.7,18.3,2183.3333333333335
61,91.6,45.4,68.1,21.7,87.6,44.4,66.8,50.4,60.3,75.1,3.9,6.7,7.4,52.9,27.6,6.3,12.7,11.9,9.3,4.0,49.7,21.1,903.0,737.0,166.1,81.6,18.4,101.14814814814815
62,73.2,25.3,39.1,12.8,64.4,33.9,53.9,33.4,44.0,52.5,2.2,3.1,2.4,27.7,14.1,3.7,11.3,4.7,3.1,2.1,28.1,20.5,750.7,676.9,73.8,90.2,9.8,79.8851851851852
63,83.0,46.6,58.9,20.5,76.4,36.9,54.7,42.5,49.8,67.1,2.7,9.0,6.7,41.1,20.2,4.4,15.2,9.8,10.7,3.6,45.1,22.5,2806.3,2425.1,381.1,86.4,13.6,238.51481481481483
64,77.4,40.6,51.2,23.0,74.7,32.4,55.7,37.2,50.7,59.9,2.0,6.2,4.9,39.9,18.6,4.1,12.4,8.6,8.6,3.2,36.0,17.4,7434.7,5958.7,1476.1,80.1,19.9,579.0444444444444
65,80.1,44.0,56.3,22.0,76.5,36.9,57.6,41.7,50.5,64.8,2.4,8.9,6.4,37.9,19.9,3.7,13.2,10.0,10.6,3.7,43.6,19.3,21425.5,14445.8,6979.6,67.4,32.6,1617.0703703703705
66,84.1,45.0,55.1,27.8,77.8,39.0,55.7,44.4,54.0,64.6,1.8,7.4,5.6,39.3,21.1,3.7,14.1,9.8,10.6,3.2,40.4,19.8,15566.4,13043.1,2523.3,83.8,16.2,1183.5962962962963
67,83.8,51.2,62.5,24.4,79.0,39.4,53.7,48.0,54.5,64.3,2.6,9.7,8.5,42.0,21.3,4.0,15.8,12.9,13.6,5.0,43.8,19.2,8953.8,7434.2,1519.5,83.0,17.0,695.062962962963
68,80.0,45.0,50.7,24.8,76.0,40.3,53.2,44.1,52.7,65.3,3.5,8.5,6.5,42.9,23.2,4.5,15.0,12.5,12.5,4.2,40.7,17.6,30716.4,25268.2,5448.2,82.3,17.7,2305.796296296296
69,80.6,40.5,53.4,17.5,77.0,32.3,63.1,40.5,62.1,66.1,2.7,7.8,5.9,41.1,19.5,3.7,13.3,8.8,9.7,3.1,42.2,18.9,8875.3,5624.8,3250.5,63.4,36.6,687.4222222222221
70,88.3,57.1,67.9,27.2,83.7,44.7,61.0,52.3,59.7,73.8,3.9,10.3,8.1,49.4,23.5,5.0,18.1,12.6,13.6,4.2,54.6,22.8,8112.4,6173.1,1939.3,76.1,23.9,635.8
71,76.8,39.9,47.7,24.7,73.6,36.6,54.0,39.2,51.0,58.8,2.8,6.4,5.7,34.7,21.4,5.1,13.4,7.6,8.4,2.7,35.4,17.7,3198.9,2767.1,431.9,86.5,13.5,265.24074074074076
72,80.2,39.3,47.2,21.6,73.7,38.6,55.1,39.5,45.8,59.4,2.6,6.6,5.4,38.0,22.3,4.2,11.6,7.3,6.1,2.3,35.2,19.4,10748.3,8719.3,2029.0,81.1,18.9,824.3703703703703
73,91.2,45.4,54.1,24.0,86.3,40.8,66.6,41.3,57.3,69.3,2.5,6.7,6.3,44.7,23.6,4.4,14.2,8.0,8.5,3.1,38.0,20.0,3601.4,3000.4,601.0,83.3,16.7,298.4851851851852
74,86.8,55.2,63.7,18.7,84.2,35.1,68.8,45.5,56.3,68.5,1.6,7.8,6.1,44.4,22.0,4.6,12.4,6.8,6.4,2.2,51.6,21.0,3353.2,2892.8,460.4,86.3,13.7,280.59629629629626
75,80.9,49.3,55.1,23.4,77.1,41.1,60.4,42.9,55.0,67.1,2.5,8.8,6.1,44.8,22.0,5.0,14.2,12.2,11.4,3.2,44.0,21.4,12344.2,9998.3,2345.9,81.0,19.0,945.788888888889
76,77.0,45.8,52.5,19.5,74.1,36.5,59.2,42.1,49.1,64.7,1.9,8.5,6.1,42.4,18.9,3.9,13.3,9.7,10.1,3.2,43.0,19.9,8777.3,6873.2,1904.1,78.3,21.7,679.8518518518517
77,83.1,44.5,54.4,21.3,78.8,40.4,64.0,40.5,53.1,64.5,2.5,7.0,6.2,40.7,21.0,3.8,15.3,7.7,8.5,3.0,40.8,19.6,4302.8,3516.6,786.1,81.7,18.3,349.11851851851856
78,91.2,61.5,71.4,21.2,89.9,43.7,68.7,51.0,60.0,72.9,3.0,9.5,6.6,51.5,21.7,4.7,15.6,10.1,9.6,2.9,52.6,23.6,1958.6,1594.0,364.6,81.4,18.6,180.0037037037037
79,88.1,55.9,66.0,27.9,84.9,43.9,65.7,50.7,58.2,73.4,3.0,8.8,6.2,47.5,23.9,5.4,15.7,10.6,9.1,3.0,55.3,21.3,7935.7,7063.9,871.8,89.0,11.0,622.0703703703703
80,80.8,39.5,51.2,15.3,72.2,36.9,61.7,38.1,48.0,59.8,2.4,6.0,6.5,39.0,17.4,3.6,14.7,8.0,8.1,2.4,38.1,16.7,640.7,569.9,70.8,88.9,11.1,75.84444444444445
81,87.1,57.0,59.7,14.4,84.8,30.6,74.1,38.8,48.0,74.6,1.7,8.0,7.0,36.8,15.2,3.2,13.9,5.7,6.7,2.2,51.2,20.9,950.6,794.6,156.1,83.6,16.4,101.58888888888889
